Name,ReleaseDate,Rating,Function,Meaning,Storytelling,Form,Cinematography,Acting,Effort,Fun,Cry,Genre,Runtime
Parasite,2019,9.1,8.42,8.3,8.6,8.74,9.3,8.5,1.3,8.3,4.2,Thriller,132
Paddington 2,2017,9.3,8.38,9.1,7.3,6.12,8.5,5.1,9.8,9.4,9.1,Family,104
The Worst Person in the World,2021,8.8,7.16,6.4,8.3,7.69,7.2,7.9,3.7,7.2,5.2,Romantic,121
Triangle of Sadness,2022,8.1,6.3,5.9,6.9,6.48,6.9,6.3,3.8,8.8,3.4,Comedy,140
French Dispatch,2021,8.3,7.6,7.4,7.9,7.01,9.6,5.9,1.2,6.1,4.3,Comedy,108
Ferris Bueller's Day Off,1986,7.7,4.7,4.1,5.6,3.38,3.1,3.5,9.3,8.9,1.2,Comedy,108
Dr Strangelove,1964,8.2,6.72,5.8,8.1,5.43,8.3,4.2,4.7,8.4,1.4,Comedy,95
Hunt for the Wilderpeople,2016,8.4,7.82,7.9,7.7,6.53,4.5,7.4,5.7,9.3,7.6,Comedy,101
Captain Fantastic,2016,7.6,7.7,8.1,7.1,5.55,5.2,5.7,4.7,7.8,6.9,Comedy,118
City of God,2002,9.1,7.94,7.3,8.9,8.71,7.8,9.1,0.7,2.1,9.1,Drama,130
Dune,2021,8.1,7.34,6.7,8.3,7.72,8.7,7.3,4.6,8.4,3.2,Fiction,155
Do The Right Thing,1989,8.6,8.22,8.5,7.8,8.38,8.1,8.5,3.7,6.7,7.5,Drama,120
Howl's Moving Castle,2004,8.3,4.06,4.9,2.8,3.48,8.1,1.5,5.7,3.7,9.6,Fiction,119
Whiplash,2014,7.7,5.06,4.7,5.6,3.49,2.3,4,3.7,0.3,0.9,Drama,107
About Time,2013,7.1,4.12,0.4,9.7,4.6,9.5,2.5,8.8,5.4,0.1,Romantic,123
Dead Poets Society,1989,8.3,3.42,3.5,3.3,5.65,3.2,6.7,4.6,0,5.1,Drama,128
Notting Hill,1999,7.8,4.9,7.5,1,1.81,1.6,1.9,7.7,0.3,0.3,Romantic,124
Uncut Gems,2019,8.4,4.64,2.6,7.7,2.72,4.4,2,1.4,0.6,9,Thriller,135
The Talented Mr Ripley,1999,8.5,6.58,9.1,2.8,5.18,2.1,6.5,2.5,6.9,0.9,Thriller,139
Pride,2014,7.2,4.18,6.3,1,2.64,1.8,3,5.1,4.8,6.3,Drama,120
Soul,2020,8.1,3.66,0.7,8.1,4.64,1.7,5.9,6.6,1.8,4.3,Family,100
